month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,consumer_revenue_usd,payer_revenue_usd,pool_usd,paid_out_usd,payout_per_user_usd,earners,payout_per_earner_usd,payout_per_earner_face_usd,earner_upside_face_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,buyback_usd,sell_pressure_usd,buyback_coverage,unlock_tokens,held_tokens,unlock_sell_usd,invariant_ok
1,9000.0,4300.0,300.0,0.06,1.0,9183.266544613383,1.020362949401487,9183.266544613383,0.0,4591.633272306692,4591.633272306692,0.4563340560829549,9000.0,0.4563340560829549,0.4563340560829549,7.067445167194067,6.611111111111112,1.2496673894162882,0.5900000000000001,484.6267675600975,53820.0,-48623.56672769331,701376.4332723067,nan,0.0,,,,,,,True
2,11874.309121106478,4218.861824221296,1344.5527031148172,0.14939474479053524,0.6275218967061031,12209.76009881999,1.0282501469594767,12209.76009881999,0.0,6104.880049409995,6104.880049409995,0.47735560799706434,11874.309121106478,0.47735560799706434,0.47735560799706434,7.088466719108177,6.6111111111111125,1.270688941330398,0.38513704318835673,436.61199935912555,54121.37564179917,-47218.54201945082,654157.8912528559,nan,0.0,,,,,,,True
3,14343.612616052565,4217.199246255606,1747.8957513095195,0.1471997851397224,0.6366675619178234,14815.46055275663,1.0328960317971776,14815.46055275663,0.0,7407.730276378315,7407.730276378315,0.4790649349631218,14343.612616052565,0.4790649349631218,0.4790649349631218,7.090176046074235,6.6111111111111125,1.2723982682964552,0.39016715905480287,536.2084313328787,54356.33027088946,-45984.70922671242,608173.1820261434,nan,0.0,,,,,,,True
4,16434.029909560606,4199.253815664762,2108.8365221567215,0.14702269076875585,0.637405455130184,17018.504927920054,1.0355649236113065,17018.504927920054,0.0,8509.252463960027,8509.252463960027,0.4802666263630623,16434.029909560606,0.4802666263630623,0.4802666263630623,7.0913777374741755,6.611111111111113,1.2735999596963958,0.3905730003216012,616.5363617456933,54529.37098372091,-44915.75170983841,563257.430316305,nan,0.0,,,,,,,True
5,18190.089316692003,4170.190667999916,2414.131260868519,0.14689831247441518,0.6379236980232701,18861.886128083293,1.0369320237902746,18861.886128083293,0.0,9430.943064041647,9430.943064041647,0.48087522304758573,18190.089316692003,0.48087522304758573,0.48087522304758573,7.091986334158698,6.6111111111111125,1.2742085563809191,0.39085803391279855,683.7798066218729,54648.32430900456,-43995.00724288121,519262.4230734238,nan,0.0,,,,,,,True
6,19650.596735576735,4131.455725018465,2670.948306133736,0.14683535960885907,0.6381860016297538,20385.151059870106,1.0373807642677582,20385.151059870106,0.0,10192.575529935053,10192.575529935053,0.48107045145170513,19650.596735576735,0.48107045145170513,0.48107045145170513,7.092181562562818,6.6111111111111125,1.2744037847850387,0.3910023008963646,739.2540870557496,54719.99239744381,-43206.896766878,476055.52630654577,nan,0.0,,,,,,,True
7,20850.022365788882,4084.4313459498326,2885.0057157376878,0.1468151707838207,0.6382701217340804,21624.62332944858,1.0371510855034227,21624.62332944858,0.0,10812.31166472429,10812.31166472429,0.480959813579213,20850.022365788882,0.480959813579213,0.480959813579213,7.092070924690326,6.6111111111111125,1.2742931469125465,0.39104856695374424,784.288794552047,54750.4024613308,-42536.9692936255,433518.55701292027,nan,0.0,,,,,,,True
8,21819.032750976276,4030.3485222844265,3061.338137097035,0.14682661166446218,0.6382224513980742,22613.31964452569,1.036403396182348,22613.31964452569,0.0,11306.659822262845,11306.659822262845,0.4806154237679693,21819.032750976276,0.4806154237679693,0.4806154237679693,7.091726534879082,6.6111111111111125,1.2739487571013028,0.39102234826894083,820.0961504451825,54744.902377599865,-41972.00355447141,391546.55345844885,nan,0.0,,,,,,,True
9,22584.94388940851,3970.30294294565,3204.391804513416,0.14686222992034503,0.6380740419985623,23381.071443703317,1.0352503667130277,23381.071443703317,0.0,11690.535721851658,11690.535721851658,0.4800879938621689,22584.94388940851,0.4800879938621689,0.4800879938621689,7.091199104973281,6.6111111111111125,1.2734213271955024,0.3909407230992093,847.7753184958765,54708.24208804494,-41499.99813682503,350046.5553216238,nan,0.0,,,,,,,True
10,23172.104450680723,3905.268133313561,3318.1075720413505,0.14691679502455696,0.6378466873976794,23954.724292734612,1.033774223818109,23954.724292734612,0.0,11977.362146367306,11977.362146367306,0.4794145661591522,23172.104450680723,0.4794145661591522,0.4794145661591522,7.090525677270264,6.6111111111111125,1.2727478994924857,0.39081567806872364,868.3177441496482,54644.6424234354,-41110.11485798235,308936.4404636414,nan,0.0,,,,,,,True
11,23602.22584371214,3836.107751710897,3405.986358679478,0.14698649257035526,0.637556280956853,24358.366451335016,1.0320368346879587,24358.366451335016,0.0,12179.183225667508,12179.183225667508,0.4786230300142824,23602.22584371214,0.4786230300142824,0.4786230300142824,7.089734141125394,6.611111111111112,1.2719563633476159,0.39065595452626917,882.6143772685991,54557.85436551167,-40792.6015631467,268143.83890049474,nan,0.0,,,,,,,True
12,23894.669795597238,3763.5868308816043,3471.142878996509,0.14706845455939294,0.6372147726691961,24613.562884069055,1.0300859185174545,24613.562884069055,0.0,12306.781442034528,12306.781442034528,0.477734908470291,23894.669795597238,0.477734908470291,0.477734908470291,7.0888460195814025,6.611111111111112,1.2710682418036243,0.3904681249680579,891.4635543070544,54451.21066544168,-40538.70741314301,227605.13148735173,nan,0.0,,,,,,,True
13,24066.70092427126,3688.381968656039,3516.3508399820175,0.14716047009906494,0.6368313745872294,24739.582945496022,1.0279590469562931,24739.582945496022,0.0,12369.791472748011,12369.791472748011,0.4767671551333056,24066.70092427126,0.4767671551333056,0.4767671551333056,7.087878266244418,6.6111111111111125,1.270100488466639,0.3902572560229762,895.5789396391065,54327.67116553598,-40340.59739067694,187264.5340966748,nan,0.0,,,,,,,True
14,24133.70984032381,3611.090527196624,3544.081611144075,0.14726079915547835,0.6364133368521735,24753.61597391776,1.0256863175075628,24753.61597391776,0.0,12376.80798695888,12376.80798695888,0.4757333561168442,24133.70984032381,0.4757333561168442,0.4757333561168442,7.086844467227957,6.6111111111111125,1.2690666894501776,0.39002733526869543,895.5972090715259,54189.86282045042,-40191.26953222178,147073.264564453,nan,0.0,,,,,,,True
15,24109.41104558533,3532.238919345676,3556.5377140841565,0.14736804816231425,0.6359664659903573,24670.97218849096,1.0232921966382276,24670.97218849096,0.0,12335.48609424548,12335.48609424548,0.47464455931573435,24109.41104558533,0.47464455931573435,0.47464455931573435,7.085755670426847,6.6111111111111125,1.2679778926490677,0.3897815562946965,892.0853131517324,54040.115185921735,-40084.47666941292,106988.78789504009,nan,0.0,,,,,,,True
16,24006.019026295253,3452.290064114829,3555.6820834049076,0.14748108432354212,0.6354954819852411,24505.267997996307,1.0207968247944066,24505.267997996307,0.0,12252.633998998153,12252.633998998153,0.473509861929301,24006.019026295253,0.473509861929301,0.473509861929301,7.084620973040415,6.611111111111113,1.2668431952626347,0.3895225150918826,885.5472443849158,53880.49198651803,-40014.65350895283,66974.13438608726,nan,0.0,,,,,,,True
17,23834.405314957952,3371.6500903908486,3543.2638017281483,0.14759897498402363,0.6350042708999015,24268.595770636523,1.0182169619900725,24268.595770636523,0.0,12134.297885318261,12134.297885318261,0.4723368363795222,23834.405314957952,0.4723368363795222,0.4723368363795222,7.083447947490634,6.611111111111112,1.2656701697128554,0.3892523489949459,876.4302818637534,53712.819261623765,-39976.84933914033,26997.285046946927,nan,0.0,,,,,,,True
