month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,pool_usd,paid_out_usd,payout_per_user_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,invariant_ok
1,9000.0,4300.0,300.0,0.06,1.0,90300.0,10.033333333333333,1401196.318632899,1401196.318632899,155.6884798480999,6.611111111111112,155.6884798480999,0.5900000000000001,147890.1302313792,53820.0,37084.8,787084.8,2.5948079974683314,350.0,False
2,12880.0,4420.0,540.0,0.06,1.0,92820.0,7.206521739130435,1565919.3193304646,1565919.3193304646,121.57758690453917,6.611111111111112,121.57758690453917,0.5900000000000001,165275.9210026786,54302.4,39383.13599999999,826467.936,2.026293115075653,350.0,False
3,16643.600000000002,4536.4,772.8,0.06,1.0,95264.39999999998,5.723785719435697,1594946.6968009935,1594946.6968009935,95.82942973881812,6.611111111111112,95.82942973881812,0.5900000000000001,168339.63347273442,54770.328,41612.52191999998,868080.45792,1.5971571623136354,350.0,False
4,20294.292,4649.308,998.6160000000001,0.06,1.0,97635.468,4.810981728261325,1588056.3878265556,1588056.3878265556,78.25138161146768,6.611111111111112,78.25138161146768,0.5900000000000001,167612.3915595111,55224.218160000004,43775.02626239999,911855.4841823999,1.3041896935244612,350.0,False
5,23835.46324,4758.828759999999,1217.65752,0.06,1.0,99935.40396,4.192719182914441,1578543.8412276653,1578543.8412276653,66.2266902611986,6.611111111111112,66.2266902611986,0.5900000000000001,166608.3839578393,55664.4916152,45872.655474527994,957728.1396569279,1.1037781710199766,350.0,False
6,27270.3993428,4865.0638972,1430.1277944,0.06,1.0,102166.34184119999,3.7464189855428063,1574832.3568580786,1574832.3568580786,57.74878237248366,6.611111111111112,57.74878237248366,0.5900000000000001,166216.6530494214,56091.556866743995,47907.35581029215,1005635.4954672201,0.962479706208061,350.0,False
7,30602.287362516,4968.111980283999,1636.223960568,0.06,1.0,104330.35158596399,3.409233772301469,1577605.3183381492,1577605.3183381492,51.551875833651565,6.6111111111111125,51.551875833651565,0.5900000000000001,166509.32698023386,56505.810160741676,49881.01513598338,1055516.5106032034,0.8591979305608595,350.0,False
8,33834.218741640514,5068.068620875479,1836.13724175096,0.06,1.0,106429.44103838505,3.1456154448573095,1585598.511916848,1585598.511916848,46.8637542372278,6.6111111111111125,46.8637542372278,0.5900000000000001,167352.97352968506,56907.63585591943,51795.46468190387,1107311.9752851073,0.7810625706204634,350.0,False
9,36969.1921793913,5165.026562249214,2030.0531244984309,0.06,1.0,108465.55780723349,2.933944493050034,1597364.9659282533,1597364.9659282533,43.20800298197249,6.6111111111111125,43.20800298197249,0.5900000000000001,168594.87118026274,57297.40678024184,53652.480741446736,1160964.456026554,0.7201333830328749,350.0,False
10,40010.11641400956,5259.075765381738,2218.1515307634777,0.06,1.0,110440.59107301649,2.7603166641711065,1611721.7616174554,1611721.7616174554,40.28285608919424,6.611111111111112,40.28285608919424,0.5900000000000001,170110.16804191377,57675.484576834584,55453.786319203355,1216418.2423457575,0.671380934819904,350.0,False
11,42959.81292158927,5350.303492420286,2400.606984840573,0.06,1.0,112356.373340826,2.6153832081601496,1627795.6989206998,1627795.6989206998,37.891126339208476,6.6111111111111125,37.891126339208476,0.5900000000000001,171806.7016749932,58042.22003952955,57201.05272962725,1273619.295075385,0.6315187723201413,350.0,False
12,45821.01853394159,5438.794387647677,2577.5887752953563,0.06,1.0,114214.6821406012,2.492626436402707,1644966.4592499724,1644966.4592499724,35.899823091699176,6.611111111111112,35.899823091699176,0.5900000000000001,173619.00017128495,58397.95343834366,58895.90114773841,1332515.1962231232,0.5983303848616529,350.0,False
