month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,consumer_revenue_usd,payer_revenue_usd,pool_usd,paid_out_usd,payout_per_user_usd,earners,payout_per_earner_usd,payout_per_earner_face_usd,earner_upside_face_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,buyback_usd,sell_pressure_usd,buyback_coverage,unlock_tokens,held_tokens,unlock_sell_usd,invariant_ok
1,9000.0,4300.0,300.0,0.06,1.0,90300.0,10.033333333333333,90300.0,0.0,1401196.318632899,1401196.318632899,155.6884798480999,9000.0,155.6884798480999,155.6884798480999,162.299590959211,6.611111111111112,155.6884798480999,0.5900000000000001,147890.1302313792,53820.0,37084.8,787084.8,2.5948079974683314,350.0,,,,,,,False
2,12880.0,4420.0,540.0,0.06,1.0,82049.87829571875,6.370332165816674,82049.87829571875,0.0,1463219.194616153,1463219.194616153,113.60397473727895,12880.0,113.60397473727895,113.60397473727895,120.21508584839006,6.611111111111112,113.60397473727895,0.5900000000000001,154436.37295590868,54302.4,28613.01429571874,815697.8142957188,1.8933995789546492,309.3886813564055,,,,,,,False
3,16643.600000000002,4536.4,772.8,0.06,1.0,64421.8963528974,3.8706707895465757,64421.8963528974,0.0,1247514.9371835783,1247514.9371835783,74.95463344370077,16643.600000000002,74.95463344370077,74.95463344370077,81.56574455481189,6.611111111111112,74.95463344370077,0.5900000000000001,131669.73397823088,54770.328,10770.018272897396,826467.8325686161,1.2492438907283463,236.68509667319682,,,,,,,False
4,20294.292,4649.308,998.6160000000001,0.06,1.0,46366.54064973587,2.284708461361247,46366.54064973587,0.0,944015.5016278109,944015.5016278109,46.51630624156836,20294.292,46.51630624156836,46.51630624156836,53.12741735267947,6.611111111111112,46.51630624156836,0.5900000000000001,99636.69874068121,55224.218160000004,-7493.901087864135,818973.931480752,0.775271770692806,166.2130531028699,,,,,,,False
5,23835.46324,4758.828759999999,1217.65752,0.06,1.0,31637.501653826697,1.3273290028084512,31637.501653826697,0.0,663549.2091931569,663549.2091931569,27.838737704061373,23835.46324,27.838737704061373,27.838737704061373,34.44984881517249,6.611111111111112,27.838737704061373,0.5900000000000001,70034.71080929558,55664.4916152,-22425.2468316453,796548.6846491067,0.4639789617343562,110.80283002879999,,,,,,,False
6,27270.3993428,4865.0638972,1430.1277944,0.06,1.0,20906.355077079807,0.766631790546168,20906.355077079807,0.0,445549.0399627318,445549.0399627318,16.33819271811899,27270.3993428,16.33819271811899,16.33819271811899,22.9493038292301,6.611111111111112,16.33819271811899,0.5900000000000001,47025.748403937665,56091.556866743995,-33352.63095382803,763196.0536952787,0.2723032119686498,71.62069371487627,,,,,,,False
7,30602.287362516,4968.111980283999,1636.223960568,0.06,1.0,13572.268850449907,0.4435050455435645,13572.268850449907,0.0,291124.57974638,291124.57974638,9.513164042207231,30602.287362516,9.513164042207231,9.513164042207231,16.124275153318344,6.6111111111111125,9.513164042207231,0.5900000000000001,30726.9234437145,56505.810160741676,-40877.067599530696,722318.986095748,0.15855273403678719,45.53127661746081,,,,,,,False
8,33834.218741640514,5068.068620875479,1836.13724175096,0.06,1.0,8742.917689705457,0.25840459791510884,8742.917689705457,0.0,187480.66920205523,187480.66920205523,5.541155557149563,33834.218741640514,5.541155557149563,5.541155557149563,12.152266668260676,6.6111111111111125,5.541155557149563,0.5900000000000001,19787.762939036224,56907.63585591943,-45891.05866677573,676427.9274289723,0.09235259261915937,28.751642041352792,,,,,,,False
9,36969.1921793913,5165.026562249214,2030.0531244984309,0.06,1.0,5628.212879435279,0.15224062381792483,5628.212879435279,0.0,120071.76329199817,120071.76329199817,3.247887124753916,36969.1921793913,3.247887124753916,3.247887124753916,9.858998235865029,6.6111111111111125,3.247887124753916,0.5900000000000001,12673.048361767238,57297.40678024184,-49184.864186351464,627243.0632426209,0.05413145207923194,18.161290529692717,,,,,,,False
10,38913.18245687383,5039.688973954592,3095.6986964720613,0.0837372556438433,0.9010947681506529,3487.403415116636,0.08962010287854529,3487.403415116636,0.0,74656.0391007827,74656.0391007827,1.9185282309798608,38913.18245687383,1.9185282309798608,1.9185282309798608,8.529639342090974,6.6111111111111125,1.9185282309798608,0.5356021224828592,7223.411674791362,57478.036464550154,-51375.667188331594,575867.3960542893,0.03197547051633101,11.53313042775636,,,,,,,False
11,38273.77682953053,4566.66702800754,5206.07265535084,0.13378686415896607,0.6925547326709747,2020.0400372295742,0.05277869613513008,2020.0400372295742,0.0,43804.1481515629,43804.1481515629,1.1444950506626081,38273.77682953053,1.1444950506626081,1.1444950506626081,7.755606161773721,6.6111111111111125,1.1444950506626081,0.4209051029690361,3401.164406679302,57198.73354295897,-52606.69570278495,523260.7003515044,0.019074917511043468,7.372408311651193,,,,,,,False
12,35794.70410374534,4089.5765544966507,6568.6492802818375,0.17162270944773153,0.5349053773011186,1166.1054868222125,0.03257759816766297,1166.1054868222125,0.0,25123.374159767456,25123.374159767456,0.7018740561998025,35794.70410374534,0.7018740561998025,0.7018740561998025,7.312985167310915,6.6111111111111125,0.7018740561998025,0.33419795751561526,1574.0286350387648,56593.21684090834,-53021.70723831444,470238.99311318994,0.011697900936663374,4.752348119187848,,,,,,,False
13,32329.87132053745,3675.011244768543,7139.844027976434,0.1994664911122806,0.4188896203654975,691.5389542304089,0.02139009300018806,691.5389542304089,0.0,14544.190753191293,14544.190753191293,0.4498685011453213,32329.87132053745,0.4498685011453213,0.4498685011453213,7.060979612256433,6.611111111111112,0.4498685011453213,0.2703892912010236,746.167543147785,55815.04183686389,-52950.935529893366,417288.05758329656,0.007497808352422021,3.1362214887316306,,,,,,,False
14,28575.673484874573,3342.6394006295104,7096.8372362923865,0.21951331528449797,0.3353611863145918,430.97287938473755,0.015081810044227177,430.97287938473755,0.0,8725.244425972933,8725.244425972933,0.3053381902124303,28575.673484874573,0.3053381902124303,0.3053381902124303,6.916449301323542,6.611111111111112,0.3053381902124303,0.2244486524730255,374.8470861093432,54989.416276469565,-52638.15813890126,364649.8994443953,0.005088969836873838,2.1488651518097424,,,,,,,False
